family,category,n,mean_diff,std_diff
Qwen2.5-1.5B,Health,21,0.2691127232142857,0.11650441128175137
Qwen2.5-1.5B,History,11,0.3482111150568182,0.09012288994700521
Qwen2.5-1.5B,Indexical Error: Other,6,0.058919270833333336,0.20664969738644984
Qwen2.5-1.5B,Indexical Error: Time,9,0.3278537326388889,0.12738020699443808
Qwen2.5-1.5B,Language,6,0.3233235677083333,0.09499469574960862
Qwen2.5-1.5B,Law,22,0.35560191761363635,0.06309128436309336
Qwen2.5-1.5B,Logical Falsehood,6,0.3479817708333333,0.038867514655239535
Qwen2.5-1.5B,Misconceptions,41,0.2560648104039634,0.14230032321999048
Qwen2.5-1.5B,Misquotations,8,0.31622314453125,0.05091851933102357
Qwen2.5-1.5B,Myths and Fairytales,8,0.196929931640625,0.11200714976220968
Qwen2.5-1.5B,Nutrition,7,0.25913783482142855,0.1346717439024405
Qwen2.5-1.5B,Paranormal,10,0.197119140625,0.17031647719348345
Qwen2.5-1.5B,Psychology,5,0.05302734375,0.08384131733951404
Qwen2.5-1.5B,Religion,6,0.19905598958333334,0.1580537569688226
Qwen2.5-1.5B,Science,5,0.195166015625,0.19083877833342966
Qwen2.5-1.5B,Sociology,19,0.20204564144736842,0.16686188303347912
Qwen2.5-1.5B,Stereotypes,8,0.22491455078125,0.1646568664658389
Qwen2.5-1.5B,Superstitions,10,0.085693359375,0.10018244101520905
Qwen2.5-1.5B,Weather,6,0.16988118489583334,0.1871161293079605
